City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Beni Mazar,0,EG,1598743080,57,28.5,30.8,80.37,15.28
Hilo,40,US,1598742799,52,19.73,-155.09,87.8,10.29
George Town,40,MY,1598742904,94,5.41,100.34,77.0,3.36
Avarua,14,CK,1598743051,73,-21.21,-159.78,77.0,17.22
Zonguldak,0,TR,1598743081,38,41.25,31.83,68.59,4.56
Punta Arenas,40,CL,1598742971,86,-53.15,-70.92,39.2,29.97
Mataura,99,NZ,1598742813,65,-46.19,168.86,55.11,10.65
Laguna,1,US,1598743081,27,38.42,-121.42,93.0,8.05
Atuona,18,PF,1598743025,78,-9.8,-139.03,79.0,18.45
Northam,1,GB,1598743082,78,51.03,-4.22,55.0,8.99
Bredasdorp,76,ZA,1598743007,93,-34.53,20.04,42.8,2.24
Barrow,90,US,1598743082,86,71.29,-156.79,37.4,16.11
Port Alfred,34,ZA,1598743082,68,-33.59,26.89,51.01,19.73
Ulladulla,0,AU,1598743082,47,-35.35,150.47,63.0,11.41
Vaini,20,TO,1598743014,74,-21.2,-175.2,80.6,13.87
Sokoni,0,TZ,1598743083,78,-6.43,39.55,75.74,11.16
Albany,64,US,1598743083,88,42.6,-73.97,79.0,8.5
Katsuura,40,JP,1598742970,84,35.13,140.3,86.0,9.17
Lompoc,1,US,1598743083,64,34.64,-120.46,70.0,12.75
Mahébourg,75,MU,1598743021,77,-20.41,57.7,69.8,14.99
Maceió,20,BR,1598743073,94,-9.67,-35.74,73.4,8.05
Camacha,40,PT,1598743084,60,33.08,-16.33,69.8,13.87
Boueni,0,YT,1598743084,78,-12.9,45.08,75.2,6.93
Cherskiy,100,RU,1598743084,81,68.75,161.3,43.47,2.1
Hithadhoo,96,MV,1598743023,73,-0.6,73.08,82.63,9.82
Cabo San Lucas,90,MX,1598743068,88,22.89,-109.91,82.99,11.41
Rikitea,46,PF,1598743085,68,-23.12,-134.97,70.27,7.05
Pevek,100,RU,1598743061,82,69.7,170.31,38.84,0.78
Busselton,89,AU,1598743034,77,-33.65,115.33,43.0,7.14
Dikson,100,RU,1598742976,97,73.51,80.55,42.12,19.66
Saskylakh,100,RU,1598743041,57,71.92,114.08,53.37,3.96
Ushuaia,90,AR,1598742856,95,-54.8,-68.3,33.8,23.04
Wau,98,SS,1598743087,91,7.7,28.0,72.16,3.4
Kismayo,22,SO,1598743087,82,-0.36,42.55,77.2,13.62
Kindersley,75,CA,1598742977,45,51.47,-109.17,62.6,16.11
Saint Anthony,1,US,1598743087,41,45.02,-93.22,75.99,6.93
Puerto Nariño,20,CO,1598743087,66,-3.77,-70.38,87.8,4.7
Salalah,90,OM,1598743056,94,17.02,54.09,77.0,2.24
San Patricio,75,MX,1598743088,79,19.22,-104.7,86.0,23.04
Guerrero Negro,17,MX,1598742850,64,27.98,-114.06,80.96,12.66
Galesong,20,ID,1598743088,88,-5.32,119.37,73.4,1.12
Safi,0,MA,1598742906,68,32.3,-9.24,67.89,18.68
Kiryat Gat,0,IL,1598743089,90,31.61,34.76,82.0,2.19
Broken Hill,67,AU,1598743091,29,-31.95,141.43,62.6,17.22
Peleduy,100,RU,1598743091,89,59.63,112.74,55.09,2.35
Kavieng,38,PG,1598743047,73,-2.57,150.8,83.98,12.59
Umeå,82,SE,1598743092,93,63.83,20.26,42.8,4.7
Lüderitz,0,NA,1598743092,65,-26.65,15.16,52.14,17.81
Cosamaloapan,54,MX,1598743092,76,18.37,-95.8,87.89,5.48
Geraldton,0,AU,1598742946,81,-28.77,114.6,44.6,8.05
Acacoyagua,40,MX,1598743093,70,15.35,-92.65,89.6,11.41
Grindavik,90,IS,1598743093,100,63.84,-22.43,51.8,14.99
Mossamedes,0,AO,1598743093,69,-15.2,12.15,60.96,2.17
Hermanus,85,ZA,1598743046,92,-34.42,19.23,39.99,3.18
Baharly,0,TM,1598743094,18,38.44,57.43,78.93,8.05
East London,77,ZA,1598743023,58,-33.02,27.91,54.27,18.66
Cape Town,20,ZA,1598743094,93,-33.93,18.42,46.0,2.24
Esim,16,GH,1598743094,90,4.87,-2.24,73.94,8.28
Thompson,75,CA,1598743050,63,55.74,-97.86,60.8,2.24
Carnarvon,0,AU,1598743054,66,-24.87,113.63,53.6,9.17
Kapaa,90,US,1598742813,78,22.08,-159.32,86.0,9.17
Kalabo,54,ZM,1598743095,44,-14.97,22.68,75.07,2.55
Castro,0,BR,1598743003,77,-24.79,-50.01,62.31,4.36
Coyhaique,75,CL,1598742836,65,-45.58,-72.07,41.0,9.17
San Cristobal,40,VE,1598742980,55,7.77,-72.22,87.8,8.05
Arrondissement de Saint-Gaudens,100,FR,1598743096,87,43.08,0.67,57.2,8.05
Chokurdakh,100,RU,1598743096,85,70.63,147.92,41.32,4.68
Touros,40,BR,1598743096,83,-5.2,-35.46,77.0,6.93
Qaanaaq,0,GL,1598743096,83,77.48,-69.36,33.85,3.65
Butaritari,50,KI,1598743096,70,3.07,172.79,83.48,10.51
Ostrovnoy,100,RU,1598743097,93,68.05,39.51,47.57,4.23
Bonavista,53,CA,1598743097,78,48.65,-53.11,60.01,11.01
Puerto Escondido,75,MX,1598743097,74,15.85,-97.07,84.2,5.82
Sitka,90,US,1598743088,87,57.05,-135.33,55.4,4.59
Kalmunai,86,LK,1598743097,78,7.42,81.82,79.59,3.74
Pisco,75,PE,1598743095,77,-13.7,-76.22,62.6,19.46
São João da Barra,2,BR,1598742819,85,-21.64,-41.05,73.04,17.09
Cam Ranh,40,VN,1598743098,88,11.92,109.16,80.6,2.24
Linjiang,26,CN,1598743098,87,41.81,126.91,69.19,0.6
Nortelândia,44,BR,1598743098,14,-14.45,-56.8,84.87,4.97
Viedma,0,AR,1598743099,47,-40.81,-63.0,41.0,1.01
Puerto Ayora,97,EC,1598743099,85,-0.74,-90.35,65.91,11.54
Byron Bay,90,AU,1598743099,93,-28.65,153.62,64.99,1.12
Husavik,75,IS,1598743099,87,66.04,-17.34,46.4,10.29
Chumikan,11,RU,1598743100,59,54.72,135.31,55.89,6.78
Baykit,42,RU,1598743100,87,61.67,96.37,48.52,1.39
Kurumkan,98,RU,1598743100,77,54.3,110.3,54.16,1.99
Chambersburg,18,US,1598743100,62,39.94,-77.66,82.99,10.65
Airai,25,TL,1598743101,39,-8.93,125.41,61.12,2.98
Fowa,81,NG,1598743101,87,8.92,6.4,74.41,1.39
Kiunga,100,PG,1598743101,94,-6.12,141.29,76.96,2.24
Maţāy,0,EG,1598743101,57,28.42,30.78,80.29,14.72
Jamestown,90,US,1598742835,77,42.1,-79.24,66.99,16.11
Lata,0,PT,1598743102,79,40.16,-8.33,63.0,0.6
Nicolás Bravo,40,MX,1598743102,70,18.45,-88.92,89.6,17.22
Mengyin,0,CN,1598743102,88,35.71,117.93,72.09,2.21
Salinópolis,9,BR,1598743102,79,-0.61,-47.36,80.29,15.21
Lorengau,86,PG,1598743047,73,-2.02,147.27,83.77,12.48
Palana,30,RU,1598743103,75,59.12,159.97,50.81,15.79
Ardatov,52,RU,1598743103,93,55.24,43.1,51.55,4.94
New Norfolk,70,AU,1598743103,42,-42.78,147.06,62.01,4.0
Saint-Philippe,20,RE,1598743053,82,-21.36,55.77,68.0,8.05
Rocha,100,UY,1598742806,87,-34.48,-54.33,50.88,15.35
Adeje,75,ES,1598743104,69,28.12,-16.73,75.99,19.46
Morón,54,AR,1598743042,75,-34.65,-58.62,55.0,5.99
Biak,100,ID,1598743104,78,-0.91,122.88,76.91,9.26
Esna,0,EG,1598743104,35,25.29,32.55,87.8,2.24
Russell,75,US,1598742971,74,32.35,-85.2,87.8,5.82
Mahibadhoo,94,MV,1598743105,66,3.78,72.97,82.83,5.7
Zhigansk,100,RU,1598743068,67,66.77,123.37,55.26,9.64
Lakes Entrance,37,AU,1598743105,36,-37.88,147.98,64.0,15.01
San Andrés,90,CO,1598743105,88,12.58,-81.7,78.8,4.7
Saint Paul Harbor,90,US,1598742839,93,57.79,-152.41,53.6,27.51
Nikolskoye,75,RU,1598743077,93,59.7,30.79,55.4,6.71
Ancud,30,CL,1598743043,80,-41.87,-73.82,45.0,8.21
Satuba,20,BR,1598743101,94,-9.56,-35.82,73.4,8.05
Fort Nelson,75,CA,1598742966,76,58.81,-122.7,51.8,13.87
Saint-Pierre,20,RE,1598743036,82,-21.34,55.48,68.0,8.05
Usinsk,26,RU,1598743065,80,65.99,57.53,45.66,9.55
Caranan,100,PH,1598743106,77,13.52,123.02,80.56,2.75
Ribeira Grande,100,PT,1598742992,93,38.52,-28.7,75.09,6.51
Bay Roberts,30,CA,1598743107,100,47.6,-53.26,57.99,3.0
Ust-Tsilma,24,RU,1598743107,89,65.44,52.15,46.33,5.86
